Emoji	Name	Group	Subgroup	Code Point	Code	Status
🧜🏻‍♂️	Merman: Light skin tone	People & Body	Person Fantasy	1F9DC 1F3FB 200D 2642 FE0F	E5.0	Fully Qualified
🧜🏻‍♂	Merman: Light skin tone	People & Body	Person Fantasy	1F9DC 1F3FB 200D 2642	E5.0	Minimally Qualified
🧜🏼‍♂️	Merman: Medium-light skin tone	People & Body	Person Fantasy	1F9DC 1F3FC 200D 2642 FE0F	E5.0	Fully Qualified
🧜🏼‍♂	Merman: Medium-light skin tone	People & Body	Person Fantasy	1F9DC 1F3FC 200D 2642	E5.0	Minimally Qualified
🧜🏽‍♂️	Merman: Medium skin tone	People & Body	Person Fantasy	1F9DC 1F3FD 200D 2642 FE0F	E5.0	Fully Qualified
🧜🏽‍♂	Merman: Medium skin tone	People & Body	Person Fantasy	1F9DC 1F3FD 200D 2642	E5.0	Minimally Qualified
🧜🏾‍♂️	Merman: Medium-dark skin tone	People & Body	Person Fantasy	1F9DC 1F3FE 200D 2642 FE0F	E5.0	Fully Qualified
🧜🏾‍♂	Merman: Medium-dark skin tone	People & Body	Person Fantasy	1F9DC 1F3FE 200D 2642	E5.0	Minimally Qualified
🧜🏿‍♂️	Merman: Dark skin tone	People & Body	Person Fantasy	1F9DC 1F3FF 200D 2642 FE0F	E5.0	Fully Qualified
🧜🏿‍♂	Merman: Dark skin tone	People & Body	Person Fantasy	1F9DC 1F3FF 200D 2642	E5.0	Minimally Qualified
🧜🏻‍♀️	Mermaid: Light skin tone	People & Body	Person Fantasy	1F9DC 1F3FB 200D 2640 FE0F	E5.0	Fully Qualified
🧜🏻‍♀	Mermaid: Light skin tone	People & Body	Person Fantasy	1F9DC 1F3FB 200D 2640	E5.0	Minimally Qualified
🧜🏼‍♀️	Mermaid: Medium-light skin tone	People & Body	Person Fantasy	1F9DC 1F3FC 200D 2640 FE0F	E5.0	Fully Qualified
🧜🏼‍♀	Mermaid: Medium-light skin tone	People & Body	Person Fantasy	1F9DC 1F3FC 200D 2640	E5.0	Minimally Qualified
🧜🏽‍♀️	Mermaid: Medium skin tone	People & Body	Person Fantasy	1F9DC 1F3FD 200D 2640 FE0F	E5.0	Fully Qualified
🧜🏽‍♀	Mermaid: Medium skin tone	People & Body	Person Fantasy	1F9DC 1F3FD 200D 2640	E5.0	Minimally Qualified
🧜🏾‍♀️	Mermaid: Medium-dark skin tone	People & Body	Person Fantasy	1F9DC 1F3FE 200D 2640 FE0F	E5.0	Fully Qualified
